Apatani,English
tapuñ,bat
tapvr,cane leaves used during ritual in Myoko festival
tapvr,heavy log put on a prisoner’s legs to prevent escape
tapvr,terrible (to hear)
tapvr,an element of babo
tapw,an element of loin loom in the form of a rod used to tighten the threads while weaving
tapya,to untie/unfasten a knot
tapya’,untie
tapyo,herbal salt
tapyo pubur,ritual element used in sacrificial altars 
tapyopa,in a manner which is nice to hear
tapyu,a species of bamboo
tapyò,melodius; nice to hear
tapúu,"a colour pattern of a mithun, of overall white colour"
taqu,bee (in group)
taqu-aláa,honey
taqu-aru’,honeycomb
tar,bend; break
tar pwta,peacock
tarbi,to break something on someone else's behalf/for someone
tardu,a bamboo container for storing meat
tare,thorn
tare apya,patch of prickly shrubs or vines
tare miile,"(of a baby or child) having a sweet, innocent face"
tare sudu,"smoking pipe, the bowl of which is made of a variety of thorny cane"
tari,hail; frozen rain; hailstones
tari ahi,wild kiwifruit 
tarii,shirt
tarii lako,shirt button
tarin,adj
tariñ,woven cane ring used as kneelet
tari’,fern
tari’,body odor
tari’ burta’,a variety of snake
tarji,scorpion; centipede
tarjiñ,straighten
tarkho,forked bamboo
tarki,to bend
tarki’,bend
tarko,variety of plant used as antiseptic after burning it
tarlar,peacock
tarlun,adj
tarluñ,barren; childless
tarne,(Anat
taro,many; a huge number of
taro ahi,wild fig
taro sanii,(Bot
taroja,a huge number of
tarpi,variety of cane
tarpiñ,maggots
tarru,hard to break (esp
tarsi,wall
tarsii,(Anat
tartu,break
tartu-tarka,to try to break (stick) with the hands
tartu-tarma,stub of a stick
tartu-tarpo,"to break with the hands, esp"
taru,ant
taru aru,hornet or wasp hive 
taru’,ant
tarw,shirt; top
tarxw’,break something with hand
tarze,pus
tarì,hail
tarò,listen secretly; eavesdrop
tarù,rope
tarú,mosquito
tasa,(Zool
tasañ,beads
tasañ-tayiñ,ornament
tase,sago palm; tree fern (Cyathea gigantea)
taser,(Bot
taser yaso,Rattan Palm
tasi,wall
tasin,[ta´si] n
tasin piiha,piiha n
tasin yachu,yachu n
tasiñ,larval dragonfly
tasiñ pwha,a variety of bamboo basket used for carrying vegetables or edible aquatic insects
tasiñ siizi’,small-sized larvae of dragonfly
tasiñ siiñbo,large-sized larvae of dragonfly
tasu,noise
tasu-tami,"pests, in general"
tasu-tase,noisy; boisterous
tasvr,variety of cane
tasw’,wart
tata,variety of body colour pattern for mithun bulls
tati,(Zool
tatii,(Zool
tatii arnii,eclipse (solar or lunar)
tatii horpu,variety of white chunky bead
tatu,to hear/listen for the first time
tatu nanu,(Zool
tatu puyu,news coming from far away (which cannot be seen nor confirmed)
tatu-katu,known; famous
tatun bulun,bulun [tatũ bulũ] adj
tatuñ buluñ,chubby
tatw’,frog
tatá,"color pattern of mithun bull, described as overall black with a white spots on either side"
tau,variety of body colour pattern for mithun bulls
tau yamu,firefly
taxe,tick
taxe’,a variety of cane
taxo’,disagree; disobey
taxw,squirrel
taxw tabu,bed bug
taxw’,head louse
taxxuñ,countercurrent fish trap made of bamboo
taxò,bamboo split used for demarcating land
taxó,bald
taya rara,quite; deserted
taya-tara,untidy; rough; slovenly
tayan miili,miili n
tayan rara,rara adj
tayañ,bee (single)
taye,"(of flat and thin objects, or materials) one"
tayin,[ta´ji] n
tayin koya,koya n
tayin siitin,siitin n
tayin tarpin,tarpin n
tayu,wasp
tayu-yucha,"variety of large-sized wasp, though smaller than a hornet"
tayu-yutii,(Zool
taze,pus
tazi’,corn
tazi’ aru’,corn ear
tazi’ marpu,cornsilk
tazi’ mwge,tongs to roast grains of corn
tazi’ pamw,corn powder
tazó,small in number; few in numbers
tañ,drink; smoke
tañdw’,get poisoned by drinking
tañgw,drunk; inebriated
tañka,taste (drinking or smoking)
tañkañ,drink or smoke for a long time
tañpyo,tasty (of drinks)
tañru,bad in taste (of drinks)
tañsvr patañ,labour gang engaged in miscellaneous works in the agricultural fields
tañxu’,leftover drinks
tañxwñ,get drunk
taú,desciptive term for mithun bull with color pattern of dark brown color with while in the lower parts of the limbs
ta’,chop (as to split something)
ta’ce,crack; rupture; split
ta’cè,cut into two
ta’kó,dig a hole or trench
ta’miñ,Indian barberry (Mahonia aquifolium)
ta’mo,strong; brawny; powerful
ta’mopa,strongly; bravely
ta’mò,a variety of tree; Chinese sumac (Rhus chinensis/Rhus semialata)
ta’mú,betel
ta’rò,large (of flat objects); wide; broad
ta’ti,cockroach
ta’xe’,lie supine
ta’zó,small (of flet objects); thin; narrow
te,to cut down standing herbage or grass; to mow
tebi,to cut down grass on someone else's behalf/for someone
tebo,to cut down grass along with someone
tebul,table
teda,to lean on or against something
tekhu-teche,to cut/mow the major portion of a given area of land
teku,"slanted, as of a tree, pole, mast, etc"
teli,oil
telii,to push something in by fingers
teliñ,push something out		[Ent.	teñ + aliñ]
telw’,push something in by finger		[Ent.	teñ + alw’]
telya,not balanced; lopsided
tema,to touch
tema’,touch	[Ent.	teñ + mwma’]
ten,vt-r
tenbi,to press down something for someone
tenbya,to get burnt by touching a hot surface
tenka,"to speak in an ironical way, as in order to to taunt or provoke someone"
tenpo,join two things by pasting
tenti,to press something down tightly
ter,defend
tero,chilly
tero yorsañ,green chilly
tero yorsiñ,dry chilly
teya,(Bot
teya’,millet (Setaria italica)
teyi,to fall down
teñ,keep in place; place something
teñ,touch (esp. with finger)
teñbya’,get burnt by touching something hot
te’,cut (esp. bushes)
te’,fall  (esp. from a standing position)
te’da’,lean against something
te’fa,slanted
te’hi,fall down
that body,of cattle which is hit by a blade during sacrifice
that is,"of the procedure of formal dispute settlement (*dapo sudu), organized by the two opposing parties for all those involved in the discussion leading to the settlement"
the,of the body immediately above the tail
the greater,of something
the hairy,of anything
the last,of *Myoko celebration
the lower,of a bamboo that remains in the ground after the stem has been cut off
the major,of something
the most,between 2700 BC to 1000 AD
the speaker's,that the addressee should let him to perform the action denoted by the verb before the performance of another action
the upper,of the foreleg
thirty kanukhan,n:num
this,"is reconstructed by, or with the help of the owner's *milobo nyanii group"
ti,to pour
tibi,"to pour water, etc"
ticha,"to start a fire, esp"
tihi,sweet or salty
tihi’,sweet
tiho,to draw a line
tihxo,too much sweet or salty
tii,pour
tii'nga,(Bot
tiiche,to break apart by pulling
tiida,to collide with
tiide,"to put something against/around a pole, etc"
tiide-nanii,"instrument such as a wooden stick that is used to support something, e"
tiige-tiige,sticky
tiigo,"variety of rituals aimed at propitiating major benevolent deities, usually requiring large animals sacrifices and marked by the smearing of rice powder on the altar and/or on the animals"
tiigo uyi,generic term for benevolent deities worshipped during *tiigo rituals
tiija-tiiya,"to tear apart; to rip, as meat"
tiikha,to miss a target one is throwing at
tiikhii,"curly, as of hair"
tiiko,rupee
tiiko bi,to give money for; to pay
tiiko koma,to earn money
tiiku,has/have [done]
tiili-tiili,continually and regularly
tiilo,to pour some liquid down
tiimo,to suspend
tiina riikha,urgent
tiina-riikhapa,urgently; desperately
tiipa,to pull out
tiipalo,"to drop, esp"
tiipe,facial tattoo for men and women
tiipi-tiipo,neatly; suitably; properly
tiipu,to collide by mistake; to stumble against
tiipya,"small necklace consisting of a black thread with a few beads on it that is given as a personal talisman to a newborn baby, usually by his aunts or by the *lache and *ari mechu at the time of the wedding ceremony (*mida)"
tiipyo,easy to pull
tiire,to break something by pulling it
tiire apya,bushy jungle
tiirii,(Anat
tiirii tatii,(Zool
tiirii-hulyi,(Zool
tiiro,to enlarge or loosen something by pulling it
tiiru,easy to pull
tiite,to knock something down by throwing something at it
tiitu,stump
timya,"to stain, smear or smudge by pouring something"
tin,vt-r
tin ude,ude n
tin-,class
tinbo,widower
tiniin,[tini] n
tinnge,one finger width
tipa,"to rub something off with the finger, so as to erase something"
tipi,thumb impression
tipina,to press something with one's thumb
tipya tarii,variety of ceremonial lady skirt
tiser,sweet; sweet-tasting
tisvr,sweet
tito,"to rub, as when lighting a matchstick on a matchbox"
tiyo,(Zool
tiyo’,insect; worm
tiñpi,dry field; dry cultivation area
ti’,rub; scratch
ti’ho,make a mark
ti’mya’,stain; smudge
ti’pa’,erase; wipe off; rub out
to,pour
to pe,[do] to me; [do] for me (imperative)
to take,in the action along with the speaker
toba,to go (down) together
tobi,to move donward on someone's behalf/for someone
tobo,to move down along with someone
tobya,to get burnt from pouring or spilling something
todo,may [do]
togii,to take someone along with oneself to go down/southward
togo,to move down/south before someone else does
togya,to move down/south wrongly
tohan tatii,tatii n
toko,"wood section used to reinforce a house pillar, esp"
tokopatta,(Bot
toku,has/have [done]
tokur,to descend back
tola,to move down/south; to descend; to fall
tolii,to pour in
toliñ,pour something out
tolw’,pour something in
tolyo,(Bot
ton,vt-r
ton-,class
tongo,"Tibetan coarse woolen cloth, made out of sheep hair"
tonkun,n:num
tonnge,one group; one band; one herd; one flock
tonnge pa,as a group
tonnyo,(of a group of persons or animals) small
tonnyoja,(of a group of persons or animals) smallest
tonnyoya,(of a group of persons or animals) smaller
tonro,(of a group of persons or animals) large
tonsa,"(of two or more groups, bands, flocks)"
tonser,to advise; to give insight
tonser henyu,to advise
tonser khemyo,to advise
tonsernii,one who advises; adviser (unspecified)
toofo’,a variety of flowering plant
tooko,prop; support; post
tooqo,wool
tooqo pufe,woollen cloth
tooro,Rhino beetle
topa’,pour something away
topyo,"to move down/south before someone else, to go (downward) first"
tor,unfurl (of flag); spead
toranso,Let me [do] first
tori,to move down/south to meet someone
tormin,adj
toro,(Zool
toro arii,"Rhino Beetle ""horn"" "
tozó,small (of group)
toñ,offer; give
toñ,display
toñkiñ,display
toñrò,small (of group)
toñsvr,advise; suggest; counsel; guide
to’,descend; go down; climb down
to’pyo,descend first
tu,to kick (by a person or an animal)
tu'ngu,to separate something by picking; to pick separately
tu-,span of a measuring stick
tuba,(of a plural subject) to kick together
tubi,to kick someone or something on someone else's behalf/for someone
tubo,to kick along with someone
tubyu,edge
tuche,to kick something so as to divide it; to break/split something by kicking it
tuda,upright; vertical
tudii,short
tudii obyo,span
tudw,short
tufa,ambush; lie in wait for; lay trap for
tugii,to take someone along with oneself to kick something; to let/allow someone to kick something along with oneself
tugo,to kick something or someone before someone else does
tugya,to kick wrongly
tuhe,to kick something and get stuck or caught
tuhii-tuke,to kick to and from
tuke tabyo,(Zool
tukha,"steep, as of a slope"
tukhii,to sprain one's ankle or knee while kicking
tuki- tuko,"sinuous, as of a road"
tuki-tuhi,"zigzagged, as of a line, road, etc"
tukun,n:num
tule,to slip
tule’,slippery; slippy
tuli,"pillar/post supporting the horizontal structure of a house, esp"
tulii,to kick inside
tulu,"subclan, a descent group comprising male members having the same paternal ancestor, their wives and unmarried sisters"
tulya,"to wait (with an intention of doing some action), to wait in ambush; to ambush"
tulí,copy; replicate; click (a photo with a camera)
tuma,"(of person's behaviour) quarrelsome, inclined to fight"
tumbu ude,tent
tumu,(Anat
tunbi,to confine someone/something on someone else's behalf
tunblun,adj
tunii,arrogant
tunii ro,domestic fowl
tuniin,[tu:ni] n
tuniipa,immediately; shortly; quickly
tupa,to kick off/away
tupi,cap (in general)
tupo,"any tree or bamboo that does not have an upper part, or whose top has been removed"
tupyo,to kick first/before anyone does
tuqiñ,stump of a felled tree
tur,support (esp. with a pole or stick)
tur,be alive
tur-,bamboo mug
turba,(of a plural subject) to pluck something together
turbi,"to pluck (leaf, flower, fruit) on someone else's behalf/for someone"
turbo,"to pluck (leaf, flower, fruit) along with someone"
turcañ,post; pillar
turcha,"to pick up (leaf, flower, fruit)"
turda,to support something by means of poles or sticks so that it stands of its own
ture,one mug
turgo,"to pluck (leaf, flower, fruit) before someone else does"
turkun,n:num
turla,bamboo mug with plaited brim and bottom used for usual drinking purposes
turla’,glass
turli,(Zool
turpyo,"to pluck (leaf, flower, fruit) first/before anyone does"
tursa,(of two or more mugs or cups)
turtu-nanii,"anything that provides support for a thing; for plants, or for feet (e"
tuser,to tear something by kicking it
tusher,to straighten out one's leg by kicking it outward; to stretch out one's legs
tusi,to join
tusi-tume,"to connect with one another, as train bogies"
tusi-tusi,one by one; one after the other
tusi’,join; attach; couple; connect
tusi’-tusi’,one after the other
